City,Date,co,dew,humidity,no2,o3,pm10,pm25,so2
Hyderabad,2019-04-01 00:00:00,4.2,15.0,40.0,11.4,14.6,82.0,93.0,3.0
Hyderabad,2019-04-02 00:00:00,5.5,16.5,42.0,14.3,14.9,82.0,125.0,2.4
Hyderabad,2019-04-03 00:00:00,5.9,21.0,52.2,14.0,13.0,82.0,127.0,2.6
Hyderabad,2019-04-04 00:00:00,5.2,20.0,51.0,12.9,12.0,72.0,106.0,2.0
Hyderabad,2019-04-05 00:00:00,3.8,15.0,44.5,8.3,21.4,62.0,90.0,3.0
Hyderabad,2019-04-06 00:00:00,4.7,16.5,46.0,15.2,15.7,60.0,98.0,3.1
Hyderabad,2019-04-07 00:00:00,4.1,16.5,46.5,8.4,16.9,61.0,95.0,2.6
Hyderabad,2019-04-08 00:00:00,5.7,18.0,45.2,13.5,13.6,66.0,93.0,2.6
Hyderabad,2019-04-09 00:00:00,6.4,18.0,49.2,18.7,9.4,73.0,114.0,2.8
Hyderabad,2019-04-10 00:00:00,6.3,15.5,41.7,19.2,12.2,82.0,124.0,2.8
Hyderabad,2019-04-11 00:00:00,4.0,14.0,40.7,8.2,12.6,57.0,95.0,3.1
Hyderabad,2019-04-12 00:00:00,4.9,15.5,43.7,10.6,17.2,69.0,99.0,2.9
Hyderabad,2019-04-13 00:00:00,4.9,16.0,43.2,13.7,18.7,59.0,87.0,2.2
Hyderabad,2019-04-14 00:00:00,4.6,15.4,40.6,13.2,17.9,62.0,93.5,2.4000000000000004
Hyderabad,2019-04-15 00:00:00,4.3,14.8,38.0,12.7,17.1,65.0,100.0,2.6
Hyderabad,2019-04-16 00:00:00,4.8,11.5,37.0,11.7,18.4,76.0,99.0,3.1
Hyderabad,2019-04-17 00:00:00,4.0,15.5,40.7,9.2,15.9,63.0,92.0,2.5
Hyderabad,2019-04-18 00:00:00,5.7,19.0,50.3,10.9,16.2,74.0,117.0,2.6
Hyderabad,2019-04-19 00:00:00,4.7,19.5,56.7,10.8,16.0,57.0,87.0,1.3
Hyderabad,2019-04-20 00:00:00,4.5,20.5,59.0,10.3,13.9,51.0,77.0,1.8
Hyderabad,2019-04-21 00:00:00,4.3,20.5,48.5,8.3,15.8,51.0,72.0,2.1
Hyderabad,2019-04-22 00:00:00,4.5,19.5,56.5,9.6,17.0,55.0,83.0,1.9
Hyderabad,2019-04-23 00:00:00,5.5,18.0,49.2,12.8,15.5,59.0,93.0,2.8
Hyderabad,2019-04-24 00:00:00,5.0,17.0,41.0,11.9,18.9,62.0,85.0,2.2
Hyderabad,2019-04-25 00:00:00,5.2,15.0,39.0,14.0,16.8,69.0,100.0,2.6
Hyderabad,2019-04-26 00:00:00,5.0,15.0,39.0,10.3,23.1,74.0,119.0,2.9
Hyderabad,2019-04-27 00:00:00,5.4,15.5,40.2,14.0,23.3,84.0,132.0,2.7
Hyderabad,2019-04-28 00:00:00,5.3,17.0,41.0,9.6,19.8,78.0,115.0,3.3
Hyderabad,2019-04-29 00:00:00,5.1,18.5,44.2,9.2,19.6,72.0,109.0,3.1
