City,Date,co,dew,humidity,no2,o3,pm10,pm25,so2
Hyderabad,2021-04-01 00:00:00,4.5,10.5,36.0,18.5,6.2,110.0,152.0,3.8
Hyderabad,2021-04-02 00:00:00,5.1,9.0,37.0,17.8,6.4,112.0,157.0,4.4
Hyderabad,2021-04-03 00:00:00,5.1,10.0,35.7,19.5,6.7,110.0,158.0,3.9
Hyderabad,2021-04-04 00:00:00,5.8,16.0,46.0,15.4,6.7,109.0,157.0,3.4
Hyderabad,2021-04-05 00:00:00,7.0,22.0,59.5,17.4,7.1,107.0,155.0,2.8
Hyderabad,2021-04-06 00:00:00,6.0,20.5,53.5,14.1,7.8,94.0,151.0,2.5
Hyderabad,2021-04-07 00:00:00,4.7,17.0,48.5,13.7,7.0,87.0,140.0,1.9
Hyderabad,2021-04-08 00:00:00,4.4,15.0,48.2,14.0,6.2,91.0,147.0,3.0
Hyderabad,2021-04-09 00:00:00,5.4,18.5,51.5,17.9,6.8,97.0,152.0,3.2
Hyderabad,2021-04-10 00:00:00,4.1,18.5,51.7,11.9,7.0,80.0,112.0,2.0
Hyderabad,2021-04-11 00:00:00,4.0,19.0,55.5,8.7,6.0,56.0,79.0,2.1
Hyderabad,2021-04-12 00:00:00,5.3,20.0,56.0,16.5,6.4,72.0,102.0,2.1
Hyderabad,2021-04-13 00:00:00,4.4,18.5,55.0,13.1,7.5,62.0,95.0,2.1
Hyderabad,2021-04-14 00:00:00,4.1,18.5,61.0,12.1,7.7,42.0,77.0,2.4
Hyderabad,2021-04-15 00:00:00,4.4,17.5,59.0,13.3,8.5,55.0,95.0,2.2
Hyderabad,2021-04-16 00:00:00,5.2,16.0,50.5,16.2,6.7,70.0,109.0,2.3
Hyderabad,2021-04-17 00:00:00,4.5,18.0,51.0,14.7,6.2,65.0,115.0,2.1
Hyderabad,2021-04-18 00:00:00,4.7,18.5,50.0,17.4,7.0,77.0,138.0,2.3
Hyderabad,2021-04-19 00:00:00,4.3,18.5,48.5,14.7,6.8,79.0,137.0,2.5
Hyderabad,2021-04-20 00:00:00,4.4,18.6,49.0,16.3,7.5,83.0,141.0,2.4
Hyderabad,2021-04-21 00:00:00,4.3,20.0,52.5,12.1,6.5,70.0,124.0,2.2
Hyderabad,2021-04-22 00:00:00,3.6,19.5,57.7,9.3,7.2,67.0,118.0,1.8
Hyderabad,2021-04-23 00:00:00,3.1,18.5,53.0,10.6,7.0,59.0,98.0,1.9
Hyderabad,2021-04-24 00:00:00,4.1,18.0,49.2,13.2,6.9,68.0,112.0,2.5
Hyderabad,2021-04-25 00:00:00,4.2,18.0,46.5,12.9,7.8,75.0,134.0,2.2
Hyderabad,2021-04-26 00:00:00,3.8,14.5,40.5,11.8,7.5,65.0,100.0,2.6
Hyderabad,2021-04-27 00:00:00,3.7,14.0,41.5,11.0,7.8,67.0,104.0,2.5
Hyderabad,2021-04-28 00:00:00,4.2,15.0,40.7,15.7,7.0,63.0,101.0,3.1
Hyderabad,2021-04-29 00:00:00,4.4,16.0,42.0,15.5,7.4,74.0,125.0,3.5
Hyderabad,2021-04-30 00:00:00,3.3,16.0,44.5,12.6,8.6,63.0,99.0,2.8
Delhi,2021-04-01 00:00:00,5.2,-3.0,24.9,10.6,18.1,123.0,99.0,7.1
Delhi,2021-04-02 00:00:00,7.2,-3.5,25.9,15.5,11.8,110.0,135.0,8.9
Delhi,2021-04-03 00:00:00,8.6,-4.0,24.9,19.3,10.0,101.0,146.0,9.5
Delhi,2021-04-04 00:00:00,8.6,2.0,27.4,18.1,12.0,114.0,157.0,9.7
Delhi,2021-04-05 00:00:00,10.3,4.5,29.1,21.5,12.2,133.0,166.0,11.5
Delhi,2021-04-06 00:00:00,10.0,8.5,34.7,19.1,18.5,185.0,181.0,11.9
Delhi,2021-04-07 00:00:00,6.9,9.0,33.5,13.0,16.3,136.0,158.0,7.2
Delhi,2021-04-08 00:00:00,6.6,2.0,30.0,14.3,14.3,96.0,129.0,7.8
Delhi,2021-04-09 00:00:00,7.3,2.0,25.6,16.2,11.5,106.0,151.0,8.6
Delhi,2021-04-10 00:00:00,8.0,2.5,25.9,17.9,11.3,111.0,151.0,8.0
